gene_accession,cipdic10_S1,cipdic10_S3,cipdic10_S2
MEG_7032|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,369.0,568.0,218.0
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,74.0,257.0,0.0
MEG_5365|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,1.0,0.0
MEG_7141|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,104.0,0.0
MEG_2494|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,19.0,36.0,0.0
MEG_2829|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,35.0,34.0,16.0
MEG_7813|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH,1759.0,1446.0,2649.0
MEG_1367|Drugs|betalactams|Class_A_betalactamases|BLAZ,20.0,0.0,14.0
MEG_1364|Drugs|betalactams|Class_A_betalactamases|BLAZ,0.0,0.0,24.0
MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,17.0,0.0
MEG_8290|Drugs|betalactams|Mutant_porin_proteins|OMPK36|RequiresSNPConfirmation,1245.0,1207.0,2018.0
MEG_6500|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILB,981.0,4646.0,1507.0
MEG_6615|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,176.0,57.0,87.0
MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,188.0,443.0,103.0
MEG_975|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,47.0,0.0,0.0
MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,761.0,625.0,1223.0
MEG_6508|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR,98.0,472.0,157.0
MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR,0.0,0.0,31.0
MEG_2400|Drugs|betalactams|Class_A_betalactamases|CTX,45.0,0.0,0.0
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,2178.0,1710.0,3550.0
MEG_6030|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,58.0,0.0,98.0
MEG_5329|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3009|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,41.0,141.0,62.0
MEG_3289|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,1872.0,1638.0,2741.0
