gene_accession,cipbeta5_S3,cipbeta5_S2,cipbeta5_S1
MEG_7142|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,143.0,0.0
MEG_6676|Drugs|betalactams|Class_A_betalactamases|TEM,32.0,17.0,0.0
MEG_3893|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,0.0,0.0,63.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,529.0,396.0,298.0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2.0,0.0,1.0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,18742.0,15141.0,10209.0
MEG_2897|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,2255.0,1747.0,1180.0
MEG_7370|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0.0,47.0,0.0
MEG_7318|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,80.0,0.0
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,2676.0,2182.0,1450.0
MEG_6018|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0.0,0.0,60.0
MEG_3242|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,3087.0,2621.0,1772.0
MEG_6508|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR,149.0,0.0,415.0
MEG_6934|Drugs|betalactams|Class_A_betalactamases|TEM,287.0,157.0,0.0
MEG_6627|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,41.0,63.0,173.0
MEG_6014|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,86.0,0.0,0.0
MEG_8659|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation,132.0,62.0,77.0
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1576.0,990.0,367.0
MEG_3999|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTP,3346.0,2799.0,1889.0
MEG_1247|Drugs|betalactams|Class_A_betalactamases|BLAA,0.0,115.0,161.0
MEG_7018|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,0.0,48.0
MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR,0.0,0.0,112.0
MEG_730|Drugs|betalactams|Penicillin_binding_protein|AMPH,836.0,311.0,668.0
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,5518.0,4332.0,2800.0
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,35.0,20.0,19.0
MEG_211|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.0,0.0,52.0
MEG_6058|Drugs|MLS|23S_rRNA_methyltransferases|RLMH,0.0,0.0,1197.0
MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,2565.0,2156.0,1369.0
MEG_7047|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,871.0,556.0,18.0
MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,14.0,0.0
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,4203.0,3498.0,2352.0
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,8274.0,6840.0,4434.0
