gene_accession,cip10_S1,cip10_S2,cip10_S3
MEG_3661|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,829.0,637.0,992.0
MEG_4217|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NREB,260.0,0.0,0.0
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,3114.0,2299.0,3556.0
MEG_5334|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,8.0,0.0
MEG_6878|Drugs|betalactams|Class_A_betalactamases|TEM,113.0,62.0,332.0
MEG_6668|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,31.0
MEG_2589|Drugs|betalactams|Class_C_betalactamases|DHA,14.0,0.0,24.0
MEG_2423|Drugs|betalactams|Class_A_betalactamases|CTX,224.0,0.0,0.0
MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,0.0,5.0,0.0
MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,18.0,0.0,16.0
MEG_2497|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0.0,59.0,0.0
MEG_7976|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|ARNT,4128.0,791.0,1333.0
MEG_1087|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,583.0,286.0,1170.0
MEG_6671|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,40.0
MEG_6510|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS,221.0,151.0,181.0
MEG_1645|Drugs|betalactams|Class_A_betalactamases|CEPA,0.0,25.0,0.0
MEG_2192|Drugs|betalactams|Class_A_betalactamases|CTX,36.0,0.0,0.0
MEG_1587|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0.0,194.0,0.0
MEG_8703|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,29.0,0.0
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,2514.0,1790.0,2865.0
MEG_6423|Drugs|betalactams|Class_A_betalactamases|SHV,60.0,0.0,0.0
MEG_2093|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,1055.0,796.0,1222.0
MEG_4341|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,312.0,0.0,0.0
MEG_6679|Drugs|betalactams|Class_A_betalactamases|TEM,13.0,0.0,25.0
MEG_3232|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6745|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,27.0
MEG_883|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,18.0,0.0
MEG_7806|Drugs|Lipopeptides|Daptomycin-resistant_mutant|WALK|RequiresSNPConfirmation,0.0,0.0,0.0
MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS,2647.0,2142.0,3115.0
MEG_6931|Drugs|betalactams|Class_A_betalactamases|TEM,105.0,69.0,256.0
MEG_6782|Drugs|betalactams|Class_A_betalactamases|TEM,0.0,0.0,21.0
MEG_6932|Drugs|betalactams|Class_A_betalactamases|TEM,103.0,46.0,242.0
MEG_683|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,53.0,0.0,0.0
MEG_4210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORB,36.0,385.0,43.0
MEG_1143|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,481.0,332.0,649.0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,2.0,8.0,3.0
MEG_6795|Drugs|betalactams|Class_A_betalactamases|TEM,30.0,27.0,106.0
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,0.0,18.0
MEG_888|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,41.0,0.0
MEG_7868|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,1327.0,954.0,1571.0
MEG_7502|Drugs|Glycopeptides|VanC-type_regulator|VANSC,0.0,565.0,130.0
MEG_2577|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE,44.0,0.0,118.0
